timestamp,apm_id,health_score,dominant_symptom
2026-06-28T06:00:00Z,Pump_001,92,none
2026-06-28T06:00:00Z,Compressor_005,88,none
2026-06-28T06:00:00Z,Exchanger_014,95,none
2026-06-29T06:00:00Z,Pump_001,92,none
2026-06-29T06:00:00Z,Compressor_005,88,none
2026-06-29T06:00:00Z,Exchanger_014,95,none
2026-06-30T06:00:00Z,Pump_001,92,none
2026-06-30T06:00:00Z,Compressor_005,88,none
2026-06-30T06:00:00Z,Exchanger_014,95,none
2026-07-01T06:00:00Z,Pump_001,92,none
2026-07-01T06:00:00Z,Compressor_005,88,none
2026-07-01T06:00:00Z,Exchanger_014,95,none
2026-07-02T06:00:00Z,Pump_001,92,none
2026-07-02T06:00:00Z,Compressor_005,88,none
2026-07-02T06:00:00Z,Exchanger_014,95,none
2026-07-03T06:00:00Z,Pump_001,92,none
2026-07-03T06:00:00Z,Compressor_005,88,none
2026-07-03T06:00:00Z,Exchanger_014,95,none
2026-07-04T06:00:00Z,Pump_001,92,none
2026-07-04T06:00:00Z,Compressor_005,88,none
2026-07-04T06:00:00Z,Exchanger_014,93,none
2026-07-05T06:00:00Z,Pump_001,92,none
2026-07-05T06:00:00Z,Compressor_005,88,none
2026-07-05T06:00:00Z,Exchanger_014,91,none
2026-07-06T06:00:00Z,Pump_001,92,none
2026-07-06T06:00:00Z,Compressor_005,88,none
2026-07-06T06:00:00Z,Exchanger_014,90,none
2026-07-07T06:00:00Z,Pump_001,92,none
2026-07-07T06:00:00Z,Compressor_005,88,none
2026-07-07T06:00:00Z,Exchanger_014,88,none
2026-07-08T06:00:00Z,Pump_001,92,none
2026-07-08T06:00:00Z,Compressor_005,88,none
2026-07-08T06:00:00Z,Exchanger_014,87,none
2026-07-09T06:00:00Z,Pump_001,92,none
2026-07-09T06:00:00Z,Compressor_005,88,none
2026-07-09T06:00:00Z,Exchanger_014,85,fouling_trend
2026-07-10T06:00:00Z,Pump_001,92,none
2026-07-10T06:00:00Z,Compressor_005,88,none
2026-07-10T06:00:00Z,Exchanger_014,83,fouling_trend
2026-07-11T06:00:00Z,Pump_001,92,none
2026-07-11T06:00:00Z,Compressor_005,88,none
2026-07-11T06:00:00Z,Exchanger_014,82,fouling_trend
2026-07-12T06:00:00Z,Pump_001,92,none
2026-07-12T06:00:00Z,Compressor_005,88,none
2026-07-12T06:00:00Z,Exchanger_014,80,fouling_trend
2026-07-13T06:00:00Z,Pump_001,92,none
2026-07-13T06:00:00Z,Compressor_005,88,none
2026-07-13T06:00:00Z,Exchanger_014,79,fouling_trend
2026-07-14T06:00:00Z,Pump_001,92,none
2026-07-14T06:00:00Z,Compressor_005,88,none
2026-07-14T06:00:00Z,Exchanger_014,77,fouling_trend
2026-07-15T06:00:00Z,Pump_001,92,none
2026-07-15T06:00:00Z,Compressor_005,88,none
2026-07-15T06:00:00Z,Exchanger_014,75,fouling_trend
2026-07-16T06:00:00Z,Pump_001,92,none
2026-07-16T06:00:00Z,Compressor_005,88,none
2026-07-16T06:00:00Z,Exchanger_014,74,fouling_trend
2026-07-17T06:00:00Z,Pump_001,92,none
2026-07-17T06:00:00Z,Compressor_005,88,none
2026-07-17T06:00:00Z,Exchanger_014,72,fouling_trend
2026-07-18T06:00:00Z,Pump_001,92,none
2026-07-18T06:00:00Z,Compressor_005,88,none
2026-07-18T06:00:00Z,Exchanger_014,71,fouling_trend
2026-07-19T06:00:00Z,Pump_001,92,none
2026-07-19T06:00:00Z,Compressor_005,88,none
2026-07-19T06:00:00Z,Exchanger_014,69,fouling_trend
2026-07-20T06:00:00Z,Pump_001,92,none
2026-07-20T06:00:00Z,Compressor_005,88,none
2026-07-20T06:00:00Z,Exchanger_014,67,fouling_trend
2026-07-21T06:00:00Z,Pump_001,92,none
2026-07-21T06:00:00Z,Compressor_005,88,none
2026-07-21T06:00:00Z,Exchanger_014,66,fouling_trend
2026-07-22T06:00:00Z,Pump_001,92,none
2026-07-22T06:00:00Z,Compressor_005,88,none
2026-07-22T06:00:00Z,Exchanger_014,64,fouling_trend
2026-07-23T06:00:00Z,Pump_001,92,none
2026-07-23T06:00:00Z,Compressor_005,88,none
2026-07-23T06:00:00Z,Exchanger_014,63,fouling_trend
2026-07-24T06:00:00Z,Pump_001,92,none
2026-07-24T06:00:00Z,Compressor_005,88,none
2026-07-24T06:00:00Z,Exchanger_014,61,fouling_trend
2026-07-25T06:00:00Z,Pump_001,92,none
2026-07-25T06:00:00Z,Compressor_005,88,none
2026-07-25T06:00:00Z,Exchanger_014,59,fouling_trend
2026-07-26T06:00:00Z,Pump_001,92,none
2026-07-26T06:00:00Z,Compressor_005,58,vib_trend_rising
2026-07-26T06:00:00Z,Exchanger_014,58,fouling_trend
2026-07-27T06:00:00Z,Pump_001,92,none
2026-07-27T06:00:00Z,Compressor_005,58,vib_trend_rising
2026-07-27T06:00:00Z,Exchanger_014,56,fouling_trend
2026-07-28T06:00:00Z,Pump_001,61,vib_trend_rising
2026-07-28T06:00:00Z,Compressor_005,58,vib_trend_rising
2026-07-28T06:00:00Z,Exchanger_014,55,fouling_trend
