timestamp,loop_id,pv,sp,op
2026-07-27T21:00:00Z,U100_P101,319.63,320.0,63.91
2026-07-27T21:10:00Z,U100_P101,318.91,320.0,63.83
2026-07-27T21:20:00Z,U100_P101,319.32,320.0,63.95
2026-07-27T21:30:00Z,U100_P101,321.21,320.0,64.29
2026-07-27T21:40:00Z,U100_P101,318.13,320.0,64.06
2026-07-27T21:50:00Z,U100_P101,318.91,320.0,63.44
2026-07-27T22:00:00Z,U100_P101,319.12,358.4,64.02
2026-07-27T22:10:00Z,U100_P101,338.97,358.4,67.93
2026-07-27T22:20:00Z,U100_P101,358.85,358.4,72.21
2026-07-27T22:30:00Z,U100_P101,358.3,358.4,72.26
2026-07-27T22:40:00Z,U100_P101,358.63,358.4,71.98
2026-07-27T22:50:00Z,U100_P101,357.55,358.4,71.76
2026-07-27T23:00:00Z,U100_P101,358.0,358.4,72.92
2026-07-27T23:10:00Z,U100_P101,358.69,358.4,72.03
2026-07-27T23:20:00Z,U100_P101,357.29,358.4,72.23
2026-07-27T23:30:00Z,U100_P101,357.6,358.4,72.09
2026-07-27T23:40:00Z,U100_P101,358.78,358.4,71.9
2026-07-27T23:50:00Z,U100_P101,358.49,358.4,72.25
2026-07-28T00:00:00Z,U100_P101,358.85,358.4,72.26
2026-07-28T00:10:00Z,U100_P101,358.62,358.4,73.05
2026-07-28T00:20:00Z,U100_P101,357.85,358.4,72.43
2026-07-28T00:30:00Z,U100_P101,358.61,358.4,72.52
2026-07-28T00:40:00Z,U100_P101,359.23,358.4,72.26
2026-07-28T00:50:00Z,U100_P101,357.48,358.4,71.76
2026-07-28T01:00:00Z,U100_P101,358.48,358.4,72.27
2026-07-28T01:10:00Z,U100_P101,359.74,358.4,71.84
2026-07-28T01:20:00Z,U100_P101,357.85,358.4,72.05
2026-07-28T01:30:00Z,U100_P101,358.07,358.4,72.18
2026-07-28T01:40:00Z,U100_P101,359.98,358.4,73.13
2026-07-28T01:50:00Z,U100_P101,358.54,358.4,72.06
2026-07-28T02:00:00Z,U100_P101,358.02,358.4,72.33
